Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Organ],Characteristics [Cell Type],Characteristics [Cell Cycle Stage],Term Source 2 REF,Term Source 2 Accession,Protocol REF,Protocol REF,Protocol REF,Assay Name,Experimental Condition [Antibody Target 1],Experimental Condition [Antibody Target 2],Comment [Gene Identifier 1],Comment [Gene Identifier 1],Comment [Gene Symbol 1],Comment [Gene Symbol 2],Comment [Gene Annotation Comments],Dataset Name,Image File,Comment [Image File Path],Comment [Image File Comments],Comment [Image File Type],Channels,Protocol REF,Processed Data File
Wild Type,WT_2.8.19_plant17_slide2_image7,Arabidopsis thaliana,NCBITaxon,# leave blank,Anther,Meiocyte,Pachytene,EFO,# leave blank,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_2.8.19_plant17_slide2_image7,WT/WT_2.8.19_plant17_slide2_image7,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_5.12.19_plant16_slide2_image27,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_5.12.19_plant16_slide2_image27,WT/WT_5.12.19_plant16_slide2_image27,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_5.12.19_plant16_slide2_image28,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_5.12.19_plant16_slide2_image28,WT/WT_5.12.19_plant16_slide2_image28,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_5.12.19_plant16_slide2_image30,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_5.12.19_plant16_slide2_image30,WT/WT_5.12.19_plant16_slide2_image30,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_5.12.19_plant16_slide2_image31,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_5.12.19_plant16_slide2_image31,WT/WT_5.12.19_plant16_slide2_image31,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_5.12.19_plant16_slide2_image33,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_5.12.19_plant16_slide2_image33,WT/WT_5.12.19_plant16_slide2_image33,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_15.11.19_plant22_slide1_image1,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_15.11.19_plant22_slide1_image1,WT/WT_15.11.19_plant22_slide1_image1,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_15.11.19_plant22_slide1_image2,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_15.11.19_plant22_slide1_image2,WT/WT_15.11.19_plant22_slide1_image2,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_15.11.19_plant22_slide1_image4,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_15.11.19_plant22_slide1_image4,WT/WT_15.11.19_plant22_slide1_image4,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_15.11.19_plant22_slide1_image7,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_15.11.19_plant22_slide1_image7,WT/WT_15.11.19_plant22_slide1_image7,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_15.11.19_plant22_slide1_image9,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_15.11.19_plant22_slide1_image9,WT/WT_15.11.19_plant22_slide1_image9,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_15.11.19_plant22_slide1_image10,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_15.11.19_plant22_slide1_image10,WT/WT_15.11.19_plant22_slide1_image10,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_15.11.19_plant22_slide1_image14,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_15.11.19_plant22_slide1_image14,WT/WT_15.11.19_plant22_slide1_image14,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_15.11.19_plant22_slide1_image17,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_15.11.19_plant22_slide1_image17,WT/WT_15.11.19_plant22_slide1_image17,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_15.11.19_plant22_slide2_image2,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_15.11.19_plant22_slide2_image2,WT/WT_15.11.19_plant22_slide2_image2,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_15.11.19_plant22_slide2_image3,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_15.11.19_plant22_slide2_image3,WT/WT_15.11.19_plant22_slide2_image3,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_15.11.19_plant22_slide2_image7,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_15.11.19_plant22_slide2_image7,WT/WT_15.11.19_plant22_slide2_image7,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_15.11.19_plant22_slide2_image8,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_15.11.19_plant22_slide2_image8,WT/WT_15.11.19_plant22_slide2_image8,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_15.11.19_plant22_slide2_image9,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_15.11.19_plant22_slide2_image9,WT/WT_15.11.19_plant22_slide2_image9,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_15.11.19_plant22_slide2_image10,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_15.11.19_plant22_slide2_image10,WT/WT_15.11.19_plant22_slide2_image10,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_15.11.19_plant22_slide2_image11,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_15.11.19_plant22_slide2_image11,WT/WT_15.11.19_plant22_slide2_image11,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_15.11.19_plant22_slide2_image12,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_15.11.19_plant22_slide2_image12,WT/WT_15.11.19_plant22_slide2_image12,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_15.11.19_plant22_slide2_image14,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_15.11.19_plant22_slide2_image14,WT/WT_15.11.19_plant22_slide2_image14,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_15.11.19_plant22_slide2_image15,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_15.11.19_plant22_slide2_image15,WT/WT_15.11.19_plant22_slide2_image15,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_15.11.19_plant22_slide2_image16,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_15.11.19_plant22_slide2_image16,WT/WT_15.11.19_plant22_slide2_image16,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_15.11.19_plant22_slide2_image17,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_15.11.19_plant22_slide2_image17,WT/WT_15.11.19_plant22_slide2_image17,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_15.11.19_plant22_slide2_image18,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_15.11.19_plant22_slide2_image18,WT/WT_15.11.19_plant22_slide2_image18,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_15.11.19_plant22_slide2_image20,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_15.11.19_plant22_slide2_image20,WT/WT_15.11.19_plant22_slide2_image20,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_15.11.19_plant22_slide2_image21,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_15.11.19_plant22_slide2_image21,WT/WT_15.11.19_plant22_slide2_image21,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_15.11.19_plant22_slide2_image22,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_15.11.19_plant22_slide2_image22,WT/WT_15.11.19_plant22_slide2_image22,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_15.11.19_plant22_slide2_image25,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_15.11.19_plant22_slide2_image25,WT/WT_15.11.19_plant22_slide2_image25,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_15.11.19_plant22_slide2_image28,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_15.11.19_plant22_slide2_image28,WT/WT_15.11.19_plant22_slide2_image28,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_15.11.19_plant22_slide2_image29,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_15.11.19_plant22_slide2_image29,WT/WT_15.11.19_plant22_slide2_image29,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_19.11.19_plant11_slide3_image1,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_19.11.19_plant11_slide3_image1,WT/WT_19.11.19_plant11_slide3_image1,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_19.11.19_plant11_slide3_image2,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_19.11.19_plant11_slide3_image2,WT/WT_19.11.19_plant11_slide3_image2,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_19.11.19_plant11_slide3_image3,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_19.11.19_plant11_slide3_image3,WT/WT_19.11.19_plant11_slide3_image3,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_19.11.19_plant11_slide3_image4,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_19.11.19_plant11_slide3_image4,WT/WT_19.11.19_plant11_slide3_image4,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_19.11.19_plant11_slide3_image5,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_19.11.19_plant11_slide3_image5,WT/WT_19.11.19_plant11_slide3_image5,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_19.11.19_plant11_slide3_image11,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_19.11.19_plant11_slide3_image11,WT/WT_19.11.19_plant11_slide3_image11,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
Wild Type,WT_19.11.19_plant11_slide3_image14,Arabidopsis thaliana,NCBITaxon,,Anther,Meiocyte,Pachytene,EFO,,growth protocol,treatment protocol,image acquisition and feature extraction protocol,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,Wild Type,WT_19.11.19_plant11_slide3_image14,WT/WT_19.11.19_plant11_slide3_image14,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,data analysis protocol,idr0000-experimentB-processed.txt
